Naam,Alternatieve namen,Plaats,Beginjaar,Eindjaar,Einddatum,Levensbeschouwing
Elimsche Boys,,Elim,Voetbal,1935,1935,Protestants-christelijk
Elinkwijk,A.V.V.E.,Utrecht,Voetbal,1919,,Neutraal
Elista,,Elst Gl,Voetbal,1917,1920,Neutraal
Elistha,,Elst Gl,Voetbal,1926,,Neutraal
Elistha,,Elst,Voetbal,1920,1922,Rooms-katholiek
Ella,,Amsterdam,Voetbal,1937,,Neutraal
Ellecom,Lotus,Ellecom,Voetbal,1925,1935,Neutraal
Ellecomsche Boys,,Ellecom,Voetbal,1921,1926,Neutraal
Ellewoutsdijk,,Ellewoutsdijk,Voetbal,1933,1938,Neutraal
Elsloo,,Elsloo Fr,Voetbal,1933,1936,Neutraal
Elst,,Elst Ut,Voetbal,1922,1926,Neutraal
Elst,Zwaluwen,Elst Ut,Voetbal,1933,1941,Neutraal
Elst,,Elst,Voetbal,1916,1919,Neutraal
E.L.T.O.,,Deventer,Voetbal,1924,1930,Neutraal
Elvoclub,,Wijlre,Voetbal,1938,1938,Rooms-katholiek
E.M.C.,,Eindhoven,Voetbal,1932,1941,Neutraal
E.M.C.,,Eindhoven,Voetbal,1933,1935,Rooms-katholiek
E.M.F.,,Dordrecht,Voetbal,1939,,Neutraal
E.M.I. (zaterdag),,Utrecht,Voetbal,1940,,Neutraal
E.M.M.,,Dieren,Voetbal,1922,1922,Neutraal
E.M.M.,,Leur,Voetbal,1915,1921,Rooms-katholiek
E.M.M.,,Wijk (Maastricht),Voetbal,1938,1938,Rooms-katholiek
E.M.M.,Lichtenvoorde,Lichtenvoorde,Voetbal,1930,1932,Neutraal
E.M.M.,,Amsterdam,Voetbal,1917,1918,Neutraal
E.M.M.,,Tegelen,Voetbal,1928,,Rooms-katholiek
E.M.M.,,Heel,Voetbal,1936,,Rooms-katholiek
E.M.M. (Eendracht Maakt Macht),Dosko//Blauw Wit,Vlissingen,Voetbal,1928,1955,Neutraal
E.M.M. (Eendracht Maakt Macht),,Vlissingen,Voetbal,1899,1916,Neutraal
E.M.M. (Eendracht Maakt Macht),,Hilversum,Voetbal,1915,1995,Rooms-katholiek
E.M.M. (Eenheid Maakt Macht),,Hilversum,Voetbal,1891,,Neutraal
Emma,,Hulsberg,Voetbal,1933,,Rooms-katholiek
Emma,Brakkensteijn,Nijmegen (Brakkenstein),Voetbal,1918,1933,Rooms-katholiek
Emma,D.V.O.,Dordrecht,Voetbal,1911,,Neutraal
Emmen,V.I.O.S.,Emmen,Voetbal,1913,1918,Neutraal
Emmen,,Emmen,Voetbal,1921,,Neutraal
Emmen,N.E.C. (Noordbarge Emmen Combinatie),Emmen,Voetbal,1925,,Neutraal
Emmerschans,,Emmerschans,Voetbal,1934,1936,Neutraal
E.M.M.S. (Eendracht Maakt Macht Slagharen),,Slagharen,Voetbal,1931,,Neutraal
E.M.O.,,Dordrecht,Voetbal,1938,1941,Neutraal
E.M.O.S.,,Helvoirt,Voetbal,1931,,Rooms-katholiek
E.M.O.S.,H.M.S.//Hannibal,Amsterdam,Voetbal,1912,1914,Neutraal
E.M.O.S.,,Blijham,Voetbal,1926,,Neutraal
E.M.O.S.,,Oisterwijk,Voetbal,1921,1925,Rooms-katholiek
E.M.O.S. (Eendracht Maakt Ons Sterk),,Enschede,Voetbal,1916,,Rooms-katholiek
Empe,,Empe,Voetbal,1923,1927,Neutraal
Empel,E.S.V.,Empel,Voetbal,1930,1940,Rooms-katholiek
Empsche Boys,,Empe,Voetbal,1932,1937,Neutraal
E.M.S.,Volharding,Noordwijkerhout,Voetbal,1922,1926,Rooms-katholiek
E.M.S.,,Bunnik,Voetbal,1931,1940,Rooms-katholiek
E.M.S.K.,V.D.C.//E.M.S.,Den Haag,Voetbal,1930,1938,Neutraal
Emst,Voorwaarts,Emst,Voetbal,1930,1934,Neutraal
E.M.V.,M.M.V.,Amsterdam,Voetbal,1924,1925,Neutraal
En Avant,,Utrecht,Voetbal,1917,1929,Neutraal
E.N.A.S.,N.A.S.S.,Amsterdam,Voetbal,1920,1929,Neutraal
E.N.C.,,Groningen,Voetbal,1937,,Neutraal
Ende Desespereert niet (E.D.N.),A.V.C.//Volharding//Sallandia,Zwolle,Voetbal,1909,1910,Neutraal
Engelbert,,Engelbert,Voetbal,1930,,Neutraal
Engelbrecht,Ajax,Breda,Voetbal,1918,1919,Rooms-katholiek
Engelen,E.V.V.,Engelen,Voetbal,1922,1923,Rooms-katholiek
E.N.K.A.,,Arnhem,Voetbal,1920,1921,Neutraal
E.N.K.A.,,Ede,Voetbal,1925,1933,Neutraal
Enkes,,Voorburg,Voetbal,1929,,Neutraal
Enkhuizen,,Enkhuizen,Voetbal,1932,,Socialistisch
Enschede,,Enschede,Voetbal,1910,,Neutraal
Enschede (com),,Enschede,Voetbal,1933,1933,Socialistisch
Enschedesche V.V.,,Enschede,Voetbal,1889,,Neutraal
Enter,R.K.V.V. E.V.V.,Enter,Voetbal,1922,1939,Rooms-katholiek
Enter Vooruit,Sparta,Enter,Voetbal,1940,,Neutraal
Entersche Boys,,Enter,Voetbal,1931,1937,Protestants-christelijk
Entos,,Deventer,Voetbal,1931,,Rooms-katholiek
E.N.T.O.S.,Volharding//Stalen Moed,Deventer,Voetbal,1923,1932,Neutraal
Entre Nous,,Zwolle,Voetbal,1930,1931,Protestants-christelijk
Entre Nous,,Utrecht,Voetbal,1927,,Neutraal
Epe,Unitas,Epe,Voetbal,1939,,Neutraal
Eper Boys,S.D.L.//E.V.V.,Epe,Voetbal,1926,1940,Neutraal
Eperheide,Juliana,Eperheide (Wittem),Voetbal,1926,,Rooms-katholiek
Epse,,Epse,Voetbal,1910,,Neutraal
Epse,E.G.C.,Epse,Voetbal,1925,,Neutraal
Epse,,Epse,Voetbal,1910,,Neutraal
E.P.S.V. (Enschedesche Politie Sport Vereeniging),,Enschede,Voetbal,1928,1929,Neutraal
Erasmus,Velox,Rotterdam,Voetbal,1919,1937,Neutraal
Erica,E.V.B.C.,Erica,Voetbal,1922,1966,Neutraal
Erica,,Venray-Heide,Voetbal,1936,1939,Rooms-katholiek
Ericasche Boys,,Erica,Voetbal,1930,1966,Rooms-katholiek
Erica-Well,Erica,Well,Voetbal,1940,1946,Rooms-katholiek
Erichem,D.W.S.,Erichem,Voetbal,1930,1937,Neutraal
Ermelo,E.F.C.,Ermelo,Voetbal,1922,1933,Neutraal
Ermelo (zaterdag),Ajax,Ermelo,Voetbal,1932,1938,Neutraal
Ermelosche Boys,,Ermelo,Voetbal,1938,,Neutraal
Ermezo (zaterdag),,Rotterdam,Voetbal,1910,,Neutraal
E.R.O. (zaterdag),,Rotterdam,Voetbal,1930,,Neutraal
Ervea,,Leeuwarden,Voetbal,1937,1938,Neutraal
Ervea,Ervea Amsterdam,Amsterdam,Voetbal,1929,,Neutraal
Ervea,,Hillegersberg (Rotterdam),Voetbal,1932,,Neutraal
E.S.B.O.,D.V.O.,Oud-Vossemeer,Voetbal,1936,1939,Neutraal
E.S.C.,,Nijmegen,Voetbal,1921,1941,Neutraal
E.S.C.,,Etsberg,Voetbal,1930,,Rooms-katholiek
E.S.C.,,Eindhoven,Voetbal,1930,1931,Neutraal
E.S.C.,,Elshout,Voetbal,1932,1937,Rooms-katholiek
E.S.C.,,Elshout,Voetbal,1939,,Rooms-katholiek
E.S.C.A. (Enka Sportclub Arnhem),E.N.K.A.,Arnhem,Voetbal,1927,,Neutraal
Esch,,Esch,Voetbal,1922,1924,Neutraal
Escher Boys (zaterdag),,Den Haag,Voetbal,1938,,Neutraal
Escompto,,Amsterdam,Voetbal,1925,1941,Neutraal
E.S.D.O.,,Delft,Voetbal,1917,1917,Neutraal
E.S.D.O.,,Den Haag,Voetbal,1929,1995,Neutraal
E.S.D.O.,S.D.O.,Den Haag,Voetbal,1917,1924,Neutraal
Esemco,,Groningen,Voetbal,1935,1939,Neutraal
Esemco,,Groningen,Voetbal,1934,1939,Neutraal
E.S.K.,S.D.O.,Heerlen,Voetbal,1922,1926,Neutraal
Esom,,Amsterdam,Voetbal,1923,1931,Neutraal
Espoir,,Maastricht,Voetbal,1909,1912,Neutraal
Espoir,V.V. Amby,Amby (Maastricht),Voetbal,1915,1919,Neutraal
Esp&#233;rance,D.O.S.,Nieuwerkerk,Voetbal,1922,1923,Neutraal
Essenberg,E.V.V.,Rotterdam,Voetbal,1912,1912,Neutraal
Essenburg,,Rotterdam,Voetbal,1928,1928,Socialistisch
Esso,,Vlaardingen,Voetbal,1938,1940,Neutraal
E.S.T.O. (Eendracht Strekt Tot Overwinning),,Bodegraven,Voetbal,1932,1936,Rooms-katholiek
E.S.T.O. (Eendracht Strekt Tot Overwinning),,Bodegraven-Zwammerdam,Voetbal,1936,,Rooms-katholiek
E.S.V.,,Eijsden,Voetbal,1918,,Rooms-katholiek
E.S.V.,,Egmond Binnen,Voetbal,1930,1941,Rooms-katholiek
E.S.V.,,Epse,Voetbal,1916,1916,Neutraal
E.S.V.,,Epe,Voetbal,1933,1934,Rooms-katholiek
E.S.V.,,Empel,Voetbal,1936,,Rooms-katholiek
E.S.V.,,Egmond,Voetbal,1923,,Rooms-katholiek
E.S.V.,,Eijsden,Voetbal,1927,,Rooms-katholiek
E.S.V.,,Helden-Egchel,Voetbal,1933,,Rooms-katholiek
E.S.V.,,Epse,Voetbal,1917,1918,Neutraal
E.S.V.,,Epse,Voetbal,1921,1925,Neutraal
E.S.V.,,Epse,Voetbal,1921,1925,Neutraal
E.S.V. (Eindhovensche Sport Vereeniging),D.E.V.O.,Eindhoven,Voetbal,1925,,Neutraal
E.S.V.A.C. (Eerste Soester Voetbal en Athletiek Club) (ook zaterdag),,Soest,Voetbal,1923,1938,Neutraal
Esveha (zaterdag),,Den Haag,Voetbal,1935,1936,Neutraal
E.T.C.,,Eindhoven,Voetbal,1923,,Rooms-katholiek
E.T.O.,,Amsterdam,Voetbal,1923,1925,Neutraal
E.T.O. (Eerlijk Ter Overwinning),,Hoofddorp,Voetbal,1927,1969,Neutraal
Etten,,Etten,Voetbal,1913,1923,Rooms-katholiek
Etten,,Etten ,Voetbal,1923,1931,Neutraal
Etten Vooruit,,Etten,Voetbal,1915,1915,Rooms-katholiek
E.U.C.,,Zevenbergschen Hoek,Voetbal,1921,,Rooms-katholiek
Eurania,,Euren (Heerlen),Voetbal,1923,1924,Rooms-katholiek
Eureka,T.O.G.,Utrecht,Voetbal,1933,1941,Neutraal
Eureka,,Rotterdam,Voetbal,1930,,Neutraal
E.V.A.,,Haarlem,Voetbal,1936,1938,Neutraal
E.V.C.,,Echt,Voetbal,1919,1920,Rooms-katholiek
E.V.C.,,Erlecom,Voetbal,1932,1934,Rooms-katholiek
E.V.C.,,Eperheide,Voetbal,1935,,Rooms-katholiek
E.V.C.,,Epen,Voetbal,1921,1923,Rooms-katholiek
E.V.C.,,Eindhoven,Voetbal,1915,,Rooms-katholiek
E.V.C. (Edamsche Voetbal Club),,Edam,Voetbal,1913,,Neutraal
E.V.C. (Eindhovensche Voetbal Club),,Eindhoven,Voetbal,1896,1903,Neutraal
E.V.E.,,Enkhuizen,Voetbal,1932,,Rooms-katholiek
E.V.E.A.C.,Velocitas,Elburg,Voetbal,1922,1933,Neutraal
Ever Quick,,Schijndel,Voetbal,1928,1932,Rooms-katholiek
Ever Score,,Den Haag,Voetbal,1934,1940,Neutraal
Everdingsche Boys,E.V.V.,Everdingen,Voetbal,1935,1936,Neutraal
E.V.N. (Erven van Nelle),,Rotterdam,Voetbal,1916,1936,Neutraal
E.V.O.,,Haaksbergen,Voetbal,1934,1937,Neutraal
E.V.O.,,Escharen,Voetbal,1919,1923,Rooms-katholiek
E.V.U. (Enschedesche Voetbalclub U.L.O.),V.C.U. (Voetbal Club Union),Enschede,Voetbal,1924,1933,Neutraal
E.V.V.,,Rotterdam,Voetbal,1921,1925,Neutraal
E.V.V.,,onbekend in Brabant,Voetbal,1930,1930,Neutraal
E.V.V.,Eindhoven,Eindhoven,Voetbal,1909,1921,Neutraal
E.V.V.,,Ellemeet,Voetbal,1931,,Neutraal
E.V.V.,,Spekholzerheide,Voetbal,1931,1939,Neutraal
E.V.V.,,Engelen,Voetbal,1929,,Rooms-katholiek
E.V.V.,,Enschede,Voetbal,1907,1912,Neutraal
E.V.V.,Voorwaarts//E.F.C. (Enschedesche Football Club),Enschede,Voetbal,1905,,Neutraal
E.V.V.,,Someren-Eind,Voetbal,1933,1938,Rooms-katholiek
E.V.V.,,Elst Ut,Voetbal,1928,1935,Neutraal
E.V.V. (Echtsche Voetbal Vereeniging),,Echt,Voetbal,1926,,Rooms-katholiek
E.V.V.S.,V.V.S.//E.V.V.S.,Eindhoven,Voetbal,1935,,Neutraal
E.V.V.-Sparta,Someren-Eind,Someren-Eind,Voetbal,1939,,Rooms-katholiek
E.X.C.,,Breda,Voetbal,1917,1918,Rooms-katholiek
Excelsior,,Goor,Voetbal,1905,1905,Neutraal
Excelsior,,Kerkrade,Voetbal,1919,1920,Rooms-katholiek
Excelsior,F.C.E.B.,Broekhuizenvorst,Voetbal,1918,1990,Rooms-katholiek
Excelsior,,Groesbeek,Voetbal,1922,,Rooms-katholiek
Excelsior,,Leeuwarden,Voetbal,1933,,Socialistisch
Excelsior,,Schiedam,Voetbal,1920,,Rooms-katholiek
Excelsior,,Charlois,Voetbal,1904,1906,Neutraal
Excelsior,,Arnhem,Voetbal,1920,1921,Rooms-katholiek
Excelsior,,Veenendaal,Voetbal,1921,1922,Neutraal
Excelsior,,Roosendaal,Voetbal,1915,1918,Rooms-katholiek
Excelsior,,Rheden,Voetbal,1922,1922,Neutraal
Excelsior,Sparta,Zwolle,Voetbal,1907,1909,Neutraal
Excelsior,,Den Haag,Voetbal,1932,,Socialistisch
Excelsior,,Den Haag,Voetbal,1930,1935,Protestants-christelijk
Excelsior,,Arnhem,Voetbal,1940,1941,Neutraal
Excelsior,,Nijmegen,Voetbal,1927,,Rooms-katholiek
Excelsior,,Budel,Voetbal,1931,,Rooms-katholiek
Excelsior,,Driebergen,Voetbal,1912,1912,Neutraal
Excelsior,,Nijmegen,Voetbal,1918,1922,Rooms-katholiek
Excelsior,,Eindhoven,Voetbal,1926,1933,Rooms-katholiek
Excelsior,,Rotterdam,Voetbal,1928,1928,Socialistisch
Excelsior,,Moerdijk,Voetbal,1915,1915,Rooms-katholiek
Excelsior,,Hellendoorn,Voetbal,1931,,Rooms-katholiek
Excelsior,,Groningen?,Voetbal,1932,1933,Neutraal
Excelsior,,Stratum (Eindhoven),Voetbal,1915,1916,Rooms-katholiek
Excelsior,,Hengelo,Voetbal,1932,,Protestants-christelijk
Excelsior,,Amsterdam,Voetbal,1904,1911,Neutraal
Excelsior,,Woensel (Eindhoven),Voetbal,1927,,Rooms-katholiek
Excelsior,,Nijmegen ?,Voetbal,1917,1918,Neutraal
Excelsior,,Dieren,Voetbal,1922,1922,Neutraal
Excelsior,,Maastricht,Voetbal,1934,,Rooms-katholiek
Excelsior,,Groesbeek,Voetbal,1927,,Rooms-katholiek
Excelsior,,Heiligerlee,Voetbal,1937,,Protestants-christelijk
Excelsior,,Dommelen,Voetbal,1931,,Rooms-katholiek
Excelsior,,Utrecht,Voetbal,1933,1937,Protestants-christelijk
Excelsior,,Huizen,Voetbal,1929,,Protestants-christelijk
Excelsior,,Maassluis,Voetbal,1918,,Protestants-christelijk
Excelsior,,Rijssen,Voetbal,1931,,Protestants-christelijk
Excelsior,,Barneveld,Voetbal,1928,1929,Neutraal
Excelsior,,Lepelstraat,Voetbal,1931,,Rooms-katholiek
Excelsior,,Aerdt,Voetbal,1927,1930,Rooms-katholiek
Excelsior,,Baak bij Zutphen,Voetbal,1928,1930,Rooms-katholiek
Excelsior,,Fijnaart,Voetbal,1931,1934,Rooms-katholiek
Excelsior,,Haarlem,Voetbal,1931,,Socialistisch
Excelsior,,Oosterhout Gl,Voetbal,1921,1923,Rooms-katholiek
Excelsior,,Babberich,Voetbal,1932,1945,Rooms-katholiek
Excelsior,,Pernis,Voetbal,1929,,Protestants-christelijk
Excelsior,,Rotterdam,Voetbal,1902,,Neutraal
Excelsior,,Arnhem,Voetbal,1935,,Socialistisch
Excelsior,,Grevenbicht,Voetbal,1924,,Rooms-katholiek
Excelsior,,Den Helder,Voetbal,1914,,Neutraal
Excelsior,,onbekend Zw Vlaanderen,Voetbal,1934,,Rooms-katholiek
Excelsior,,Den Bosch,Voetbal,1915,1926,Rooms-katholiek
Excelsior,,'s-Gravenmoer,Voetbal,1931,,Neutraal
Excelsior,,Den Helder,Voetbal,1935,1936,Protestants-christelijk
Excelsior,,Doetinchem,Voetbal,1935,1936,Protestants-christelijk
Excelsior Boys,,Amsterdam,Voetbal,1935,1935,Socialistisch
Excelsior (Gestel),,Gestel,Voetbal,1929,1931,Rooms-katholiek
Excelsior Sportief,,Arnhem,Voetbal,1919,1940,Protestants-christelijk
Exos,Excelsior,Oss,Voetbal,1922,1925,Rooms-katholiek
Expansie,S.V.V.,Maastricht,Voetbal,1928,1933,Neutraal
Expresse,,Heerlen,Voetbal,1935,1940,Neutraal
Expresse,,Heerlen,Voetbal,1921,1930,Neutraal
Exterio,,Amsterdam,Voetbal,1934,1939,Neutraal
Ezinge,,Ezinge,Voetbal,1930,,Neutraal
E.Z.W.C.,Zwart Wit,Oosterhout,Voetbal,1924,1933,Neutraal
F.A.B.,Amstel's Super Boys,Amsterdam,Voetbal,1928,1930,Neutraal
Fabrieksarbeiders,,Rotterdam,Voetbal,1931,,Socialistisch
Fabrieksjeugd,,Arnhem ?,Voetbal,1934,,Socialistisch
F.A.C.,,Utrecht,Voetbal,1931,1931,Neutraal
Fair,,Rotterdam,Voetbal,1938,1940,Neutraal
Fair Play,Velocitas,Tilburg,Voetbal,1926,1927,Neutraal
Fair Play,Velocitas,Tilburg,Voetbal,1922,,Rooms-katholiek
Fair Play,,Tilburg,Voetbal,1922,1928,Neutraal
F.A.K. (Flink Aanpakken Kameraden),,Bilthoven,Voetbal,1931,,Neutraal
F.A.L.T.O. (Flink Aanpakken Leidt Tot Overwinnen),S.D.O.,Dieren,Voetbal,1925,,Neutraal
Fama,,Rotterdam ?,Voetbal,1937,1938,Neutraal
Famos,,Amsterdam,Voetbal,1935,,Protestants-christelijk
F.A.M.O.S.,,Amsterdam,Voetbal,1932,1938,Neutraal
F.A.M.O.S.,,Amsterdam,Voetbal,1939,1940,Neutraal
F.A.M.O.S. (Federatie voor Amsterdamsche Middelbare scholen voor Ontspanning en Sport (zaterdag),,Amsterdam,Voetbal,1929,,Neutraal
Farmsum,,Farmsum,Voetbal,1931,1945,Neutraal
F.A.V.C.,,Amsterdam,Voetbal,1940,1943,Neutraal
Favoriet,N.P.F.,Rotterdam,Voetbal,1931,1933,Neutraal
F.C. Hollandia,,Velsen,Voetbal,1910,,Neutraal
F.C. Union,,Hoensbroek,Voetbal,1913,1914,Neutraal
F.C.A.,A.S.V.,Delft,Voetbal,1933,1940,Neutraal
F.C.A.,,Aardenburg,Voetbal,1929,,Neutraal
F.C.A.,,Arnemuiden ?,Voetbal,1929,,Neutraal
F.C.A. (Football Club Achilles),Achilles,Bolsward,Voetbal,1905,1924,Neutraal
F.C.A. (Football Club Achilles),Achilles,Haarlem,Voetbal,1907,1912,Neutraal
F.C.B.,Sparta,Brunssum,Voetbal,1939,1940,Rooms-katholiek
F.C.C. (Footbal Club Carisborg),V.V.C.,Heerlerheide,Voetbal,1932,1941,Neutraal
F.C.G.,,Gulpen,Voetbal,1940,,Rooms-katholiek
F.C.H.,,Hingen-Echt,Voetbal,1927,1935,Rooms-katholiek
F.C.H.,,Hoensbroek,Voetbal,1936,1945,Neutraal
F.C.K.,Julia,Kerkrade,Voetbal,1932,,Rooms-katholiek
F.C.K. (Footbalclub Kerkrade),K.V.C. - Oranje,Kerkrade,Voetbal,1938,,Neutraal
F.C.K. (Footbalclub Kerkrade),K.V.C. Oranje//K.V.C.,Kerkrade,Voetbal,1911,,Neutraal
F.C.M.,,Maastricht,Voetbal,1926,,Rooms-katholiek
F.C.M.,,Maastricht,Voetbal,1929,1929,Neutraal
F.C.R.,V.V.C.,Roermond,Voetbal,1928,,Rooms-katholiek
F.C.R.I.A.,R.I.A. (Roomsch In Alles),Nieuwstadt,Voetbal,1926,,Rooms-katholiek
F.C.S.,,Strucht,Voetbal,1932,,Rooms-katholiek
F.C.S.,S.V.V.,Spaubeek,Voetbal,1928,1931,Rooms-katholiek
F.C.V.,,Venlo,Voetbal,1921,1921,Neutraal
F.C.V. (Football Club Venlo),V.I.O.S.,Venlo,Voetbal,1932,,Rooms-katholiek
Feijenoord,Wilhelmina//H.F.C. (Hillesluis Feijenoord Combinatie)//Celeritas,Rotterdam,Voetbal,1908,,Neutraal
Felicitas,G.V.V.,Groenekan,Voetbal,1934,1938,Neutraal
Felociter,,Barger-Oosterveld,Voetbal,1932,1934,Rooms-katholiek
Ferox,,Groningen,Voetbal,1927,,Protestants-christelijk
Festilent,,Zeeland,Voetbal,1931,,Rooms-katholiek
F.H.D.C.,,Amsterdam,Voetbal,1940,,Neutraal
Fidelio,,Strijp (Eindhoven),Voetbal,1920,1922,Rooms-katholiek
Fides,,Amsterdam,Voetbal,1939,1940,Socialistisch
Fides,D.E.S.,Amsterdam,Voetbal,1934,1942,Neutraal
Fides,,Wageningen,Voetbal,1919,1923,Rooms-katholiek
Fides Pacta,,Leiden,Voetbal,1924,,Protestants-christelijk
Fides Pacta,,Leiden,Voetbal,1936,1939,Neutraal
Fides Pacta,,Leiden,Voetbal,1927,1935,Neutraal
Fijenoord,,Akkerwoude,Voetbal,1932,1932,Neutraal
Fijffes (zaterdag),,Rotterdam,Voetbal,1927,,Neutraal
Fijnaart,,Fijnaart,Voetbal,1920,1927,Neutraal
Finsterwolde,,Finsterwolde,Voetbal,1928,,Neutraal
F.I.O.S. (Fier Is Ons Streven),,Achthuizen,Voetbal,1938,,Rooms-katholiek
Firmitas,,Tilburg,Voetbal,1907,1907,Neutraal
Fiscus,,Amsterdam,Voetbal,1911,1912,Neutraal
Fit,De Germaan,Amsterdam,Voetbal,1923,,Neutraal
Flakkee,,Vlissingen,Voetbal,1930,,Neutraal
Flakkee,M.V.V.//M.S.V.V.,Middelharnis-Sommelsdijk,Voetbal,1920,,Neutraal
Flakkee Boys,Zwervers//Voorwaarts,Ooltgensplaat,Voetbal,1933,1939,Neutraal
Flevo,T.O.G.,Harderwijk,Voetbal,1922,1933,Neutraal
Flevo,,Middenmeer,Voetbal,1934,1942,Neutraal
Flora,Het Noorden,Amsterdam,Voetbal,1931,1938,Neutraal
Floralia (zaterdag),Fortuna,Hillegom,Voetbal,1934,1935,Neutraal
Florissant,Blauw Wit,Rotterdam,Voetbal,1921,1954,Neutraal
Flower Boys,O.N.I.,Aalsmeer,Voetbal,1929,1933,Neutraal
Fluks,A.D.O. (Alleen Door Oefening),Dordrecht,Voetbal,1915,2003,Neutraal
F.M.E.,,Amsterdam,Voetbal,1932,1937,Neutraal
Foar&#250;t,M.V.V. (Menaldumer Voetbal Vereeniging),Menaldum,Voetbal,1930,1941,Neutraal
Fokke,D.E.S.,Amsterdam,Voetbal,1924,,Neutraal
Football en Cricket Club Antoni,,Oss,Voetbal,1900,1907,Neutraal
Ford,R.C.A.,Arnhem,Voetbal,1925,1926,Neutraal
Foreholte,,Voorhout,Voetbal,1932,,Rooms-katholiek
Fortissimo,V.I.O.D. (Vooruit Is Ons Doel),Cothen,Voetbal,1929,1939,Rooms-katholiek
Fortitudo,,Culemborg,Voetbal,1919,,Rooms-katholiek
Fortix,Excelsior,Amsterdam,Voetbal,1923,1923,Neutraal
Forto (zaterdag),Steeds Voorwaarts,Hilversum,Voetbal,1923,1933,Neutraal
Fortsche Boys,,Bergen op Zoom,Voetbal,1932,1940,Rooms-katholiek
Fortuna,,Rotterdam,Voetbal,1931,1938,Socialistisch
Fortuna,,Vlaardingen,Voetbal,1904,2003,Neutraal
Fortuna,,Ammerzoden,Voetbal,1930,1933,Rooms-katholiek
Fortuna,,Breda,Voetbal,1920,1922,Rooms-katholiek
Fortuna,Spaubeek,Spaubeek,Voetbal,1932,1935,Rooms-katholiek
Fortuna,,Winterswijk,Voetbal,1920,1925,Rooms-katholiek
Fortuna,,Schiedam,Voetbal,1922,1928,Protestants-christelijk
Fortuna,,Breda,Voetbal,1936,1939,Rooms-katholiek
Fortuna,,Woerden,Voetbal,1921,,Rooms-katholiek
Fortuna,,Rotterdam,Voetbal,1902,1908,Neutraal
Fortuna W,Fortuna,Winterswijk,Voetbal,1930,,Rooms-katholiek
Fortuna (zaterdag),,Rotterdam?,Voetbal,1931,1933,Neutraal
Forward,,Weert,Voetbal,1929,1929,Neutraal
Forward,,Appingedam,Voetbal,1929,,Protestants-christelijk
Forward,Lyempf,Leeuwarden,Voetbal,1938,,Neutraal
Forward,,Appingedam,Voetbal,1934,1936,Neutraal
Forward,,Venlo,Voetbal,1924,,Rooms-katholiek
Forward,,Assen,Voetbal,1917,1918,Neutraal
Forward,Voorwaarts,Groningen,Voetbal,1903,1934,Neutraal
Forward,,Amsterdam,Voetbal,1923,1923,Neutraal
Forward,,Beek Lb,Voetbal,1921,1921,Rooms-katholiek
Foxhol,,Foxham,Voetbal,1922,1926,Neutraal
Francibank,,Rotterdam,Voetbal,1911,1914,Neutraal
Franeker,,Franeker,Voetbal,1912,1913,Neutraal
Franeker,,Franeker,Voetbal,1931,1933,Rooms-katholiek
Franeker,S.N.A. (Sport Na Arbeid),Franeker,Voetbal,1933,1936,Socialistisch
Frankendael,,Amsterdam,Voetbal,1931,1936,Neutraal
Franklin,,Amsterdam,Voetbal,1931,1937,Neutraal
Frans Smulders,,Utrecht,Voetbal,1939,,Neutraal
Frarao,,Rotterdam,Voetbal,1927,1930,Neutraal
F.R.C.,,Amsterdam,Voetbal,1912,1913,Neutraal
Frederik Hendrik,,Amsterdam,Voetbal,1922,1940,Neutraal
Frederiksoord,,Frederiksoord,Voetbal,1923,1925,Neutraal
Freno,De Zwaluwen,Franeker,Voetbal,1926,1970,Neutraal
Friesche Boys,,Leeuwarden,Voetbal,1925,1928,Neutraal
Friesche Boys,Zwart Wit,Leeuwarden,Voetbal,1922,1923,Neutraal
Friesche Wilp,,De Wilp (Marum),Voetbal,1931,1935,Neutraal
Friesland,Snel//Voorwaarts,Leeuwarden,Voetbal,1905,,Neutraal
Frisia,Cricketclub Frisia//Leeuwarder cricket- en footballcub Frisia,Leeuwarden,Voetbal,1883,,Neutraal
Friso,,Leeuwarden,Voetbal,1920,1925,Neutraal
Friso,,Joure,Voetbal,1930,,Neutraal
Friso,,Joure,Voetbal,1930,1965,Rooms-katholiek
Frixes,Germania,Ekamp,Voetbal,1920,1921,Neutraal
Froombosch,,Froombosch (Slochteren),Voetbal,1939,,Neutraal
F.S.C.,,Frederiksoord,Voetbal,1932,1938,Neutraal
F.S.O.D. (Fair Spel Ons Doel),,Meerssen,Voetbal,1934,1938,Rooms-katholiek
F.S.V.,Advendo,Rotterdam,Voetbal,1920,1938,Neutraal
F.S.V.,,Fijnaart,Voetbal,1933,,Protestants-christelijk
F.S.V. Pretoria,,Rotterdam,Voetbal,1920,,Neutraal
Full Speed,Ajax,Delft,Voetbal,1923,1929,Neutraal
Furenthela,,Voerendaal,Voetbal,1922,1929,Neutraal
Furenthela,,Voerendaal,Voetbal,1920,1925,Rooms-katholiek
F.V.C.,,Finsterwolde,Voetbal,1914,1914,
F.V.C. (Friesche Voetbal Club),Vitesse,Huizum (Leeuwarden),Voetbal,1919,,Neutraal
F.V.V.,,Renkum,Voetbal,1920,1926,Neutraal
F.V.V.,,Fijnaart,Voetbal,1931,1935,Rooms-katholiek
F.V.V.,,Foxhol,Voetbal,1930,,Neutraal
